epoch,val_loss,val_acc,f1_macro,auroc,brier
1,62303.10624851519,60.47943136643542,0.36470850980628694,0.7936353671668637,0.5973492090901767
2,64359.45188809838,58.514563359056304,0.35449553557422864,0.7905141512560374,0.619818210147375
3,65233.610362051986,59.25198768415309,0.3536423003746333,0.7878171261216247,0.6180003027660322
4,66551.22711708501,58.691327591134666,0.35130860309213163,0.7836291768461292,0.6286672014088479
5,66859.8079952246,58.61857575285161,0.3499269052051973,0.7882213753851695,0.6297042702833368
6,66435.41193263629,57.73248109751344,0.3495240869073069,0.7873244034261002,0.6346625158632654
7,69008.85052903625,57.02574895419232,0.3491474448455995,0.7828093049951295,0.6520951131942172
8,67421.62709860853,56.893317873567696,0.34711377195514637,0.7871131417612343,0.6415720306102424
9,68186.93462613132,57.45560189154779,0.3464163545504161,0.7852379609726162,0.6481166781477938
10,68322.81874336442,58.28039337958272,0.3498417022710579,0.7842959757290244,0.6378500842924851
